Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Sudan,133,4.138999999999999,0.63069,0.8192799999999999,0.29759,0.0,0.10039,0.18077000000000001
Gabon,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.062439999999999996
Mali,135,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,0.21064000000000002
Haiti,136,4.0280000000000005,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,0.47958
Botswana,137,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,0.12425
Comoros,138,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,0.1827
Ivory Coast,139,3.9160000000000004,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338
Cambodia,140,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339
Angola,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12070999999999998
Niger,142,3.8560000000000003,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,0.2097
South Sudan,143,3.832,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.13015,0.25899
Chad,144,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,0.18667
Burkina Faso,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353000000000002
Uganda,145,3.739,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,0.27102
Yemen,147,3.7239999999999998,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,0.09821
Madagascar,148,3.695,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.07506,0.2204
Tanzania,149,3.6660000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472
Liberia,150,3.622,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,0.24063
Guinea,151,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914
Rwanda,152,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23551999999999998
Benin,153,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018
Afghanistan,154,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268
Togo,155,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517
Syria,156,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996
Burundi,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029
