Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Ghana,91,5.1479997630000005,0.83506451,0.728601098,0.572039871,0.794796526,0.8479647640000001,0.09417085300000001
Nepal,92,5.137199879,0.79253573,0.785512447,0.637791786,0.797565043,0.7380991579999999,0.154168829
Turkey,93,5.131800175,1.01294193,0.826313555,0.669028168,0.6088304520000001,0.748197377,-0.17104643600000002
China,94,5.123899937,0.96885681,0.798760593,0.692891922,0.898517907,0.7539710999999999,-0.18142575
Turkmenistan,95,5.119100093999999,0.97480326,0.958966196,0.622117081,0.8264570240000001,0.883691847,0.187671542
Bulgaria,96,5.101500034,0.9869319,0.937840343,0.66803978,0.745178163,0.9355851409999999,-0.143908441
Morocco,97,5.094799995,0.89403133,0.5926284789999999,0.658962402,0.772072434,0.8157246109999999,-0.240377247
Cameroon,98,5.084899902,0.81186476,0.700386405,0.527049408,0.7630518079999999,0.8513365979999999,-0.00149645
Venezuela,99,5.053199768,0.89777937,0.890408158,0.6650534060000001,0.62327832,0.837038398,-0.16909050899999997
Algeria,100,5.005099773,0.95379648,0.8033851390000001,0.659051743,0.46661090899999996,0.7354851370000001,-0.121105164
Senegal,101,4.980800152,0.81189823,0.723616004,0.595991516,0.6905961629999999,0.808785141,-0.052335154
Guinea,102,4.949299812,0.77509904,0.637573481,0.544678001,0.7068467740000001,0.761794448,0.076328471
Niger,103,4.909599781,0.68421669,0.617435038,0.535000954,0.759772122,0.722530186,0.013860817
Laos,104,4.888599873,0.87985802,0.7375022170000001,0.5870992279999999,0.907213569,0.634679317,0.11137148
Albania,105,4.882699966000001,0.94179306,0.671070457,0.687081375,0.7819942240000001,0.896303713,-0.042309489000000006
Cambodia,106,4.8484001160000005,0.82498903,0.773080647,0.6152996829999999,0.9597046379999999,0.8227690459999999,0.051911179
Bangladesh,107,4.832799911,0.82870636,0.687292993,0.64503067,0.90062499,0.661843538,-0.033664726
Gabon,108,4.829299927,0.96805372,0.787886858,0.597153397,0.7048292159999999,0.8491509559999999,-0.22226162300000002
South Africa,109,4.814099789,0.94033709,0.8525322679999999,0.56506012,0.7593300940000001,0.843423843,-0.10977732400000001
Iraq,110,4.7848000530000006,0.96610956,0.7476949690000001,0.5990354920000001,0.633182645,0.82226181,-0.06956476
Lebanon,111,4.771500111,0.93617239,0.824338138,0.671065826,0.5513575079999999,0.90225625,-0.06121527
Burkina Faso,112,4.768700123,0.7468545,0.7129436140000001,0.538894539,0.665563583,0.739795029,-0.019080516000000002
Gambia,113,4.750599861,0.73218145,0.6931687,0.550120163,0.733163178,0.6907178159999999,0.34319871700000004
Mali,114,4.729300021999999,0.76298523,0.7314689759999999,0.517269821,0.71156615,0.839328408,-0.044366925999999994
Nigeria,115,4.724100113,0.85766249,0.73721689,0.49861908,0.759578407,0.861874342,0.033745807
Armenia,116,4.676799774,0.91004763,0.7574794290000001,0.667506561,0.7120178340000001,0.7735447879999999,-0.13877961
Georgia,117,4.672599792,0.92261009,0.629033029,0.6449520870000001,0.8016415240000001,0.665944695,-0.22892037
Iran,118,4.672399998,0.98137197,0.6946896909999999,0.6600614929999999,0.647873282,0.714635968,0.11789110300000001
Jordan,119,4.6333999630000005,0.90259991,0.80216372,0.667997513,0.75104779,0.700344324,-0.162565202
Mozambique,120,4.623600006,0.7069346,0.723874032,0.54205822,0.864451885,0.683019102,0.032375867999999995
Kenya,121,4.583000183,0.80297756,0.702652037,0.600969315,0.829747558,0.831499159,0.294681519
Namibia,122,4.571100235,0.92031412,0.846880972,0.5650148770000001,0.767520964,0.8514497879999999,-0.18530646
Ukraine,123,4.56069994,0.90106907,0.878879368,0.64606781,0.663081884,0.920636714,-0.030933706000000002
Liberia,124,4.557899952,0.70543804,0.70928055,0.560963135,0.735268712,0.8563759329999999,0.04227322
Palestinian Territories,125,4.552800179,0.83892231,0.825295925,0.6225,0.645791829,0.824199975,-0.162079096
Uganda,126,4.43200016,0.75003896,0.7649946209999999,0.557082024,0.7317139509999999,0.8367378120000001,0.099487431
Chad,127,4.422699928,0.74679637,0.632388055,0.48220539100000004,0.587305248,0.8027608390000001,0.017834719
Tunisia,128,4.392199993,0.93149729,0.6887185570000001,0.6689785770000001,0.593361557,0.867590249,-0.216413811
Mauritania,129,4.374599934,0.82339191,0.7908192279999999,0.570101776,0.551522553,0.746223509,-0.10600814199999999
Sri Lanka,130,4.327000141,0.93899698,0.825374067,0.6720006559999999,0.837633669,0.859001756,0.081129618
Congo (Kinshasa),131,4.31099987,0.66942563,0.6721590159999999,0.529000015,0.700793564,0.809403598,0.083637655
Swaziland,132,4.3081002239999995,0.9162674000000001,0.7702901959999999,0.511882362,0.646822274,0.708263338,-0.19920142
Myanmar,133,4.308000088,0.86804819,0.78440702,0.589617119,0.895075202,0.645124316,0.560663998
Comoros,134,4.288599968,0.78336301,0.625662446,0.573490105,0.547612607,0.780622602,0.09000840800000001
Togo,135,4.187200069,0.73577113,0.551312625,0.5471989820000001,0.6498286129999999,0.7577334640000001,0.002667875
Ethiopia,136,4.186200142,0.75093856,0.743307352,0.5863959120000001,0.740795195,0.7536900040000001,0.043377332000000005
Madagascar,137,4.165599823,0.72816858,0.668195903,0.5910542679999999,0.5575740929999999,0.8174856309999999,-0.011823638999999999
Egypt,138,4.151400089,0.93165417,0.7354478240000001,0.6178015139999999,0.708354175,0.787726879,-0.196878314
