Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Haiti,142,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.684767246,0.40053457
Lesotho,143,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,0.857392073,-0.145732045
India,144,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.772042692,0.057551607
Malawi,145,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.731700778,0.021433279
Yemen,146,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,0.800287724,-0.157735437
Botswana,147,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,0.777930915,-0.250394493
Tanzania,148,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.619799435,0.109668687
Central African Republic,149,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.891806662,0.082410358
Rwanda,150,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.183541179,0.055483952
Zimbabwe,151,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,0.81023699,-0.072063953
South Sudan,152,2.816600084,7.425359726,0.553707123,51,0.451313615,0.763417304,0.016518548
Afghanistan,153,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,0.933686554,-0.0964294
